Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02 00:00:00,146.25,146.25,146.25,146.25,1000000,146.25
1990-01-03 00:00:00,145.7,145.7,145.7,145.7,1000000,145.7
1990-01-04 00:00:00,143.37,143.37,143.37,143.37,1000000,143.37
1990-01-05 00:00:00,143.82,143.82,143.82,143.82,1000000,143.82
1990-01-08 00:00:00,144.1,144.1,144.1,144.1,1000000,144.1
1990-01-09 00:00:00,145.2,145.2,145.2,145.2,1000000,145.2
1990-01-10 00:00:00,145.25,145.25,145.25,145.25,1000000,145.25
1990-01-11 00:00:00,145.4,145.4,145.4,145.4,1000000,145.4
1990-01-12 00:00:00,145.4,145.4,145.4,145.4,1000000,145.4
1990-01-16 00:00:00,145.48,145.48,145.48,145.48,1000000,145.48
1990-01-17 00:00:00,145.49,145.49,145.49,145.49,1000000,145.49
1990-01-18 00:00:00,146.12,146.12,146.12,146.12,1000000,146.12
1990-01-19 00:00:00,145.65,145.65,145.65,145.65,1000000,145.65
1990-01-22 00:00:00,146.43,146.43,146.43,146.43,1000000,146.43
1990-01-23 00:00:00,146.09,146.09,146.09,146.09,1000000,146.09
1990-01-24 00:00:00,145.32,145.32,145.32,145.32,1000000,145.32
1990-01-25 00:00:00,144.42,144.42,144.42,144.42,1000000,144.42
1990-01-26 00:00:00,143.35,143.35,143.35,143.35,1000000,143.35
1990-01-29 00:00:00,143.13,143.13,143.13,143.13,1000000,143.13
1990-01-30 00:00:00,144.1,144.1,144.1,144.1,1000000,144.1
1990-01-31 00:00:00,144.55,144.55,144.55,144.55,1000000,144.55
1990-02-01 00:00:00,144.9,144.9,144.9,144.9,1000000,144.9
1990-02-02 00:00:00,145.38,145.38,145.38,145.38,1000000,145.38
1990-02-05 00:00:00,145.39,145.39,145.39,145.39,1000000,145.39
1990-02-06 00:00:00,145.13,145.13,145.13,145.13,1000000,145.13
1990-02-07 00:00:00,145.47,145.47,145.47,145.47,1000000,145.47
1990-02-08 00:00:00,145.4,145.4,145.4,145.4,1000000,145.4
1990-02-09 00:00:00,145.2,145.2,145.2,145.2,1000000,145.2
1990-02-12 00:00:00,144.2,144.2,144.2,144.2,1000000,144.2
1990-02-13 00:00:00,144.4,144.4,144.4,144.4,1000000,144.4
1990-02-14 00:00:00,144.27,144.27,144.27,144.27,1000000,144.27
1990-02-15 00:00:00,144.4,144.4,144.4,144.4,1000000,144.4
1990-02-16 00:00:00,144.15,144.15,144.15,144.15,1000000,144.15
1990-02-20 00:00:00,145.45,145.45,145.45,145.45,1000000,145.45
1990-02-21 00:00:00,145.32,145.32,145.32,145.32,1000000,145.32
1990-02-22 00:00:00,145.89,145.89,145.89,145.89,1000000,145.89
1990-02-23 00:00:00,146.92,146.92,146.92,146.92,1000000,146.92
1990-02-26 00:00:00,148.85,148.85,148.85,148.85,1000000,148.85
1990-02-27 00:00:00,148.63,148.63,148.63,148.63,1000000,148.63
1990-02-28 00:00:00,148.82,148.82,148.82,148.82,1000000,148.82
1990-03-01 00:00:00,149.67,149.67,149.67,149.67,1000000,149.67
1990-03-02 00:00:00,150.28,150.28,150.28,150.28,1000000,150.28
